mc_id,sc_id,age,exposure,treatment,date,day,volume,replacement_volume,volume24,weekday,fecalsamp,hrs_bw_samplingpoints,volume_per_hour,volume24_corr,number of bees
12,2,1,pre,100ppb,2020-09-13,-1,3,10,5,Sunday,no,24,0.208333333,5,10
12,2,1,pre,100ppb,2020-09-14,0,5.5,10,4.5,Monday,yes,19.5,0.230769231,5.538461538,10
12,2,1,during,100ppb,2020-09-15,1,6,10,4,Tuesday,no,24,0.166666667,4,10
12,2,1,during,100ppb,2020-09-16,2,6,10,4,Wednesday,yes,24,0.166666667,4,10
12,2,1,during,100ppb,2020-09-17,3,6.5,10,3.5,Thursday,yes,24,0.145833333,3.5,10
12,2,1,during,100ppb,2020-09-18,4,5.5,10,4.5,Friday,no,24,0.1875,4.5,10
12,2,1,during,100ppb,2020-09-19,5,6,13,4,Saturday,yes,24,0.166666667,4,10
12,2,1,post,100ppb,2020-09-20,6,8.5,,4.5,Sunday,no,28.5,0.157894737,3.789473684,10
12,2,1,post,100ppb,2020-09-21,7,4.5,,4,Monday,no,19.5,0.205128205,4.923076923,10
12,2,1,post,100ppb,2020-09-22,8,0,12.5,4.5,Tuesday,yes,24,0.1875,4.5,10
12,2,1,post,100ppb,2020-09-23,9,8.5,,4,Wednesday,no,24,0.166666667,4,10
12,2,1,post,100ppb,2020-09-24,10,4.5,12.5,4,Thursday,no,24,0.166666667,4,10
12,2,1,post,100ppb,2020-09-25,11,8.5,,4,Friday,no,24,0.166666667,4,10
12,2,1,post,100ppb,2020-09-26,12,2.5,12.5,6,Saturday,no,28.5,0.210526316,5.052631579,10
12,2,1,post,100ppb,2020-09-27,13,8.5,,4,Sunday,no,19.5,0.205128205,4.923076923,10
12,2,1,post,100ppb,2020-09-28,14,4,,4.5,Monday,yes,28.5,0.157894737,3.789473684,10
13,2,1,pre,800ppb,2020-09-08,-6,12.5,,,Tuesday,no,24,,,10
13,2,1,pre,800ppb,2020-09-09,-5,9.5,,3,Wednesday,no,24,0.125,3,10
13,2,1,pre,800ppb,2020-09-10,-4,7,,2.5,Thursday,no,24,0.104166667,2.5,10
13,2,1,pre,800ppb,2020-09-11,-3,2,13,5,Friday,no,24,0.208333333,5,10
13,2,1,pre,800ppb,2020-09-12,-2,7.5,,5.5,Saturday,no,28.5,0.192982456,4.631578947,10
13,2,1,pre,800ppb,2020-09-13,-1,3,10,4.5,Sunday,no,24,0.1875,4.5,10
13,2,1,pre,800ppb,2020-09-14,0,6,10,4,Monday,yes,19.5,0.205128205,4.923076923,10
13,2,1,during,800ppb,2020-09-15,1,6,10,4,Tuesday,no,24,0.166666667,4,10
13,2,1,during,800ppb,2020-09-16,2,6.5,10,3.5,Wednesday,yes,24,0.145833333,3.5,10
13,2,1,during,800ppb,2020-09-17,3,7,9.5,3,Thursday,yes,24,0.125,3,10
13,2,1,during,800ppb,2020-09-18,4,6,10,3.5,Friday,no,24,0.145833333,3.5,10
13,2,1,during,800ppb,2020-09-19,5,6,13,4,Saturday,yes,24,0.166666667,4,10
13,2,1,post,800ppb,2020-09-20,6,9,,4,Sunday,no,28.5,0.140350877,3.368421053,10
13,2,1,post,800ppb,2020-09-21,7,5.5,,3.5,Monday,no,19.5,0.179487179,4.307692308,10
13,2,1,post,800ppb,2020-09-22,8,1.5,12.5,4,Tuesday,yes,24,0.166666667,4,10
13,2,1,post,800ppb,2020-09-23,9,9.5,,3,Wednesday,no,24,0.125,3,10
13,2,1,post,800ppb,2020-09-24,10,5.5,12.5,4,Thursday,no,24,0.166666667,4,10
13,2,1,post,800ppb,2020-09-25,11,9,,3.5,Friday,no,24,0.145833333,3.5,10
13,2,1,post,800ppb,2020-09-26,12,3.5,13,5.5,Saturday,no,28.5,0.192982456,4.631578947,10
13,2,1,post,800ppb,2020-09-27,13,9.6,,3.4,Sunday,no,19.5,0.174358974,4.184615385,10
